vehicle_type,type_code,distance_km,weight_kg,load_ratio,mileage_kmpl,fuel_l
tempo,2,587.1,963.0,0.8,12.35,54.61
tempo,2,342.7,415.0,0.35,14.26,24.76
heavy-truck,0,268.6,6093.0,0.61,5.04,59.0
delivery-van,3,613.8,774.0,0.97,13.48,59.48
heavy-truck,0,648.7,7157.0,0.72,4.95,164.4
heavy-truck,0,701.9,8587.0,0.86,5.63,145.38
mini-truck,1,273.9,2065.0,0.41,8.84,35.01
mini-truck,1,291.2,3624.0,0.72,8.3,36.68
heavy-truck,0,552.4,2812.0,0.28,4.57,129.99
heavy-truck,0,408.8,9476.0,0.95,5.14,102.44
delivery-van,3,387.3,729.0,0.91,10.97,41.63
heavy-truck,0,171.7,3540.0,0.35,4.37,43.85
heavy-truck,0,738.5,9278.0,0.93,4.49,190.42
tempo,2,79.9,730.0,0.61,12.82,6.83
tempo,2,594.1,240.0,0.2,12.97,49.43
delivery-van,3,616.3,405.0,0.51,12.55,54.31
delivery-van,3,160.8,292.0,0.37,12.95,13.6
delivery-van,3,480.8,552.0,0.69,13.58,42.17
heavy-truck,0,51.6,7912.0,0.79,5.46,11.36
delivery-van,3,495.0,518.0,0.65,10.54,52.73
delivery-van,3,562.8,566.0,0.71,13.89,49.19
delivery-van,3,107.5,250.0,0.31,12.87,9.16
delivery-van,3,729.8,311.0,0.39,12.08,66.46
delivery-van,3,716.2,307.0,0.38,12.04,61.76
heavy-truck,0,318.3,5231.0,0.52,5.55,65.12
mini-truck,1,676.1,3717.0,0.74,7.22,117.39
heavy-truck,0,739.6,9270.0,0.93,5.29,180.19
heavy-truck,0,510.7,9607.0,0.96,5.88,107.88
heavy-truck,0,370.8,3564.0,0.36,5.85,67.32
tempo,2,198.9,611.0,0.51,13.31,16.42
mini-truck,1,127.7,2856.0,0.57,7.29,18.92
tempo,2,233.2,1061.0,0.88,12.97,21.78
mini-truck,1,746.0,4959.0,0.99,8.21,106.63
tempo,2,616.5,774.0,0.65,16.21,46.66
heavy-truck,0,246.7,9416.0,0.94,5.41,53.75
tempo,2,622.4,377.0,0.31,13.57,48.36
mini-truck,1,539.5,4648.0,0.93,8.21,78.84
delivery-van,3,694.6,524.0,0.66,10.31,79.3
mini-truck,1,93.5,3338.0,0.67,6.81,15.2
delivery-van,3,504.9,479.0,0.6,10.99,56.45
tempo,2,146.4,1123.0,0.94,14.83,12.25
heavy-truck,0,315.6,4565.0,0.46,4.87,71.25
heavy-truck,0,278.5,8440.0,0.84,4.71,73.96
heavy-truck,0,363.9,3774.0,0.38,5.22,70.51
delivery-van,3,90.3,301.0,0.38,12.16,8.73
heavy-truck,0,119.8,5462.0,0.55,5.05,26.62
mini-truck,1,638.3,3010.0,0.6,8.32,86.83
mini-truck,1,496.0,3226.0,0.65,8.44,69.38
mini-truck,1,297.0,1298.0,0.26,6.42,48.95
mini-truck,1,469.1,1703.0,0.34,7.98,62.08
delivery-van,3,366.5,451.0,0.56,11.42,37.6
delivery-van,3,368.4,776.0,0.97,11.85,40.01
mini-truck,1,607.5,1856.0,0.37,6.86,99.04
heavy-truck,0,595.9,5396.0,0.54,5.23,132.28
tempo,2,694.1,702.0,0.59,12.23,69.07
heavy-truck,0,226.2,7579.0,0.76,4.94,54.32
heavy-truck,0,63.2,5206.0,0.52,5.1,15.08
heavy-truck,0,85.4,4771.0,0.48,5.83,16.2
heavy-truck,0,137.2,8504.0,0.85,5.02,35.94
mini-truck,1,483.3,3696.0,0.74,7.56,72.95
delivery-van,3,623.1,592.0,0.74,12.13,65.25
tempo,2,388.7,731.0,0.61,13.47,35.34
delivery-van,3,403.6,534.0,0.67,11.72,41.72
delivery-van,3,90.5,442.0,0.55,11.18,8.95
mini-truck,1,469.5,3660.0,0.73,7.64,75.43
tempo,2,111.6,1126.0,0.94,14.11,9.69
heavy-truck,0,686.7,6929.0,0.69,4.96,163.0
delivery-van,3,530.2,785.0,0.98,11.66,53.97
tempo,2,58.9,1140.0,0.95,13.53,5.17
delivery-van,3,292.5,668.0,0.83,14.14,25.57
heavy-truck,0,453.8,2909.0,0.29,5.74,80.11
mini-truck,1,161.5,2775.0,0.55,8.7,23.46
delivery-van,3,316.4,547.0,0.68,11.44,31.92
heavy-truck,0,588.5,7754.0,0.78,5.5,121.51
tempo,2,375.1,390.0,0.32,15.63,25.39
delivery-van,3,79.2,723.0,0.9,12.38,8.13
delivery-van,3,660.2,580.0,0.73,10.74,76.93
delivery-van,3,580.7,653.0,0.82,12.32,53.38
delivery-van,3,607.0,662.0,0.83,13.0,55.02
delivery-van,3,347.1,431.0,0.54,11.18,36.88
tempo,2,731.8,647.0,0.54,13.02,64.35
mini-truck,1,491.2,1199.0,0.24,8.67,59.86
delivery-van,3,544.7,318.0,0.4,10.54,58.83
tempo,2,723.7,1030.0,0.86,16.26,53.91
mini-truck,1,686.5,4893.0,0.98,8.75,100.99
heavy-truck,0,176.7,7355.0,0.74,5.52,38.09
delivery-van,3,660.1,496.0,0.62,13.81,54.97
delivery-van,3,626.8,462.0,0.58,13.7,50.21
tempo,2,419.9,1061.0,0.88,14.69,33.68
delivery-van,3,298.3,222.0,0.28,11.01,28.48
tempo,2,78.0,1051.0,0.88,14.8,6.42
mini-truck,1,574.1,1981.0,0.4,7.25,79.77
tempo,2,599.8,392.0,0.33,16.09,37.7
tempo,2,445.6,1016.0,0.85,15.22,35.23
delivery-van,3,90.5,269.0,0.34,10.9,8.63
mini-truck,1,710.4,3757.0,0.75,7.74,99.9
mini-truck,1,240.0,1129.0,0.23,8.26,29.44
tempo,2,275.1,718.0,0.6,12.02,26.97
heavy-truck,0,506.2,9557.0,0.96,5.19,125.53
delivery-van,3,138.5,168.0,0.21,10.77,13.41
delivery-van,3,327.2,539.0,0.67,10.94,35.73
heavy-truck,0,109.8,6080.0,0.61,4.67,29.32
mini-truck,1,474.0,1664.0,0.33,7.34,74.3
heavy-truck,0,394.0,6080.0,0.61,5.28,87.32
mini-truck,1,407.1,4682.0,0.94,7.92,66.28
heavy-truck,0,56.9,4523.0,0.45,4.47,13.91
heavy-truck,0,565.9,9491.0,0.95,4.71,137.0
tempo,2,532.3,1013.0,0.84,12.86,49.62
mini-truck,1,376.0,1601.0,0.32,7.56,54.48
heavy-truck,0,198.5,7806.0,0.78,5.64,41.58
tempo,2,248.7,407.0,0.34,12.6,22.3
mini-truck,1,652.4,1165.0,0.23,8.72,79.42
delivery-van,3,340.2,203.0,0.25,12.95,27.2
mini-truck,1,250.8,1926.0,0.39,6.41,42.39
mini-truck,1,82.4,1766.0,0.35,8.46,11.05
mini-truck,1,405.8,4962.0,0.99,7.4,70.52
tempo,2,547.2,248.0,0.21,14.11,41.69
tempo,2,613.0,347.0,0.29,12.92,46.94
tempo,2,503.3,1086.0,0.9,12.01,52.25
heavy-truck,0,302.4,8273.0,0.83,5.84,56.34
tempo,2,320.9,572.0,0.48,15.84,21.96
delivery-van,3,742.6,383.0,0.48,11.42,78.6
mini-truck,1,717.3,1622.0,0.32,6.66,119.31
delivery-van,3,339.0,514.0,0.64,11.55,33.99
mini-truck,1,687.6,1228.0,0.25,6.66,110.74
heavy-truck,0,476.2,8504.0,0.85,5.18,114.68
delivery-van,3,731.0,277.0,0.35,13.13,59.42
delivery-van,3,202.1,726.0,0.91,10.59,22.78
mini-truck,1,536.2,1105.0,0.22,6.7,90.46
delivery-van,3,530.6,322.0,0.4,13.57,41.94
delivery-van,3,243.6,185.0,0.23,11.02,22.7
heavy-truck,0,371.0,2800.0,0.28,4.86,88.09
delivery-van,3,639.8,322.0,0.4,10.3,73.78
heavy-truck,0,588.4,5683.0,0.57,4.68,141.62
delivery-van,3,276.9,424.0,0.53,13.02,23.55
heavy-truck,0,174.9,8709.0,0.87,5.39,38.65
heavy-truck,0,366.9,2445.0,0.24,5.16,80.35
mini-truck,1,69.7,3754.0,0.75,6.99,11.3
tempo,2,664.4,734.0,0.61,13.35,55.24
mini-truck,1,540.9,2330.0,0.47,8.72,69.84
heavy-truck,0,99.0,2259.0,0.23,5.78,17.59
mini-truck,1,707.5,2266.0,0.45,8.22,96.51
delivery-van,3,709.5,584.0,0.73,13.82,62.5
tempo,2,54.8,598.0,0.5,13.7,4.56
delivery-van,3,444.0,374.0,0.47,13.12,36.57
heavy-truck,0,193.9,6195.0,0.62,4.79,43.84
delivery-van,3,555.4,535.0,0.67,13.48,46.15
mini-truck,1,111.5,3983.0,0.8,6.93,19.18
mini-truck,1,81.4,4459.0,0.89,7.15,13.73
delivery-van,3,735.6,357.0,0.45,10.38,79.61
tempo,2,89.3,772.0,0.64,14.69,6.55
mini-truck,1,225.9,4167.0,0.83,7.52,37.69
delivery-van,3,241.0,423.0,0.53,10.86,24.9
mini-truck,1,520.6,3441.0,0.69,8.28,75.35
heavy-truck,0,117.4,5222.0,0.52,4.28,28.2
heavy-truck,0,58.8,6290.0,0.63,4.79,14.59
heavy-truck,0,522.3,2725.0,0.27,5.5,102.46
mini-truck,1,221.1,3703.0,0.74,6.84,39.46
tempo,2,691.8,1183.0,0.99,15.53,57.66
tempo,2,140.6,1090.0,0.91,12.09,13.8
delivery-van,3,194.7,338.0,0.42,12.91,16.24
delivery-van,3,492.3,794.0,0.99,11.86,51.08
tempo,2,610.0,997.0,0.83,15.1,50.04
mini-truck,1,681.0,1279.0,0.26,6.98,106.2
heavy-truck,0,566.9,5752.0,0.58,4.46,141.09
delivery-van,3,437.7,652.0,0.82,10.66,46.69
tempo,2,735.0,271.0,0.23,14.28,52.95
mini-truck,1,454.4,4677.0,0.94,8.04,66.39
mini-truck,1,433.1,2501.0,0.5,8.33,57.7
mini-truck,1,549.1,3183.0,0.64,7.36,88.1
delivery-van,3,168.5,317.0,0.4,13.77,13.61
heavy-truck,0,537.3,7027.0,0.7,4.66,141.59
heavy-truck,0,609.7,3413.0,0.34,5.17,129.26
heavy-truck,0,221.9,7379.0,0.74,5.7,47.31
delivery-van,3,393.8,575.0,0.72,11.92,39.55
tempo,2,468.0,592.0,0.49,15.67,33.85
tempo,2,717.1,810.0,0.67,13.15,64.21
delivery-van,3,665.4,387.0,0.48,10.71,68.63
tempo,2,613.2,1131.0,0.94,12.95,62.49
heavy-truck,0,346.5,3792.0,0.38,4.9,78.48
delivery-van,3,581.7,748.0,0.94,11.6,56.05
delivery-van,3,291.6,628.0,0.78,10.37,32.58
heavy-truck,0,582.7,5453.0,0.55,5.11,128.99
heavy-truck,0,364.8,3193.0,0.32,4.32,95.84
mini-truck,1,377.6,2850.0,0.57,8.24,53.83
heavy-truck,0,425.3,8245.0,0.82,5.2,97.25
heavy-truck,0,166.5,6842.0,0.68,5.05,38.44
mini-truck,1,294.4,1133.0,0.23,6.87,38.6
delivery-van,3,232.5,761.0,0.95,11.4,25.25
tempo,2,247.8,791.0,0.66,15.72,18.99
tempo,2,689.9,603.0,0.5,15.42,49.75
mini-truck,1,625.2,3606.0,0.72,7.84,97.87
heavy-truck,0,429.9,4889.0,0.49,4.88,101.13
mini-truck,1,587.2,3700.0,0.74,7.91,87.77
delivery-van,3,706.2,578.0,0.72,12.53,63.94
heavy-truck,0,563.6,5447.0,0.54,4.56,136.23
mini-truck,1,404.9,4111.0,0.82,7.25,61.87
heavy-truck,0,316.6,3377.0,0.34,5.21,63.27
mini-truck,1,654.2,2914.0,0.58,7.92,97.1
mini-truck,1,307.5,3802.0,0.76,7.29,46.85
tempo,2,403.3,758.0,0.63,16.41,29.76
tempo,2,301.4,441.0,0.37,15.31,19.61
tempo,2,200.5,415.0,0.35,13.43,16.4
heavy-truck,0,135.4,6988.0,0.7,5.75,29.1
mini-truck,1,642.8,4955.0,0.99,6.91,121.06
heavy-truck,0,191.2,3624.0,0.36,5.88,34.06
delivery-van,3,115.3,276.0,0.35,11.98,10.3
tempo,2,349.2,1189.0,0.99,15.23,29.54
tempo,2,533.5,698.0,0.58,15.72,40.44
tempo,2,746.5,374.0,0.31,12.95,59.99
tempo,2,99.7,540.0,0.45,15.35,7.36
heavy-truck,0,308.7,5647.0,0.56,4.43,76.73
heavy-truck,0,535.3,2947.0,0.29,4.7,129.81
tempo,2,330.7,387.0,0.32,12.32,30.25
mini-truck,1,670.5,3372.0,0.67,7.41,113.7
heavy-truck,0,268.0,8328.0,0.83,4.35,71.59
mini-truck,1,438.7,1138.0,0.23,6.61,68.33
mini-truck,1,690.2,2219.0,0.44,7.42,102.75
heavy-truck,0,193.5,7649.0,0.76,5.32,42.44
tempo,2,215.4,813.0,0.68,13.3,19.22
tempo,2,619.0,415.0,0.35,13.99,51.77
tempo,2,119.3,340.0,0.28,13.09,9.89
mini-truck,1,411.9,2020.0,0.4,6.9,65.51
delivery-van,3,340.0,426.0,0.53,11.33,36.16
delivery-van,3,289.4,794.0,0.99,13.33,27.75
tempo,2,293.1,288.0,0.24,12.53,24.76
delivery-van,3,425.1,715.0,0.89,12.22,43.45
heavy-truck,0,223.4,8645.0,0.86,5.32,50.74
tempo,2,400.1,460.0,0.38,14.07,30.44
delivery-van,3,515.2,658.0,0.82,11.8,51.6
mini-truck,1,506.3,1806.0,0.36,7.82,71.18
mini-truck,1,565.9,1803.0,0.36,8.15,76.13
tempo,2,386.4,994.0,0.83,13.98,35.04
delivery-van,3,587.7,483.0,0.6,13.16,51.3
heavy-truck,0,568.3,4069.0,0.41,5.54,118.67
mini-truck,1,156.8,3104.0,0.62,6.81,27.47
delivery-van,3,558.5,451.0,0.56,12.0,53.74
heavy-truck,0,613.1,2805.0,0.28,5.31,130.81
delivery-van,3,306.6,762.0,0.95,10.55,36.25
heavy-truck,0,501.8,9743.0,0.97,5.21,113.29
tempo,2,427.5,827.0,0.69,13.44,33.61
delivery-van,3,58.4,165.0,0.21,12.82,4.89
mini-truck,1,301.3,1021.0,0.2,7.53,45.14
mini-truck,1,269.1,2630.0,0.53,8.36,38.27
mini-truck,1,483.2,2699.0,0.54,6.51,85.54
tempo,2,103.2,662.0,0.55,11.91,9.97
mini-truck,1,346.9,2657.0,0.53,7.89,46.84
delivery-van,3,583.5,293.0,0.37,11.93,51.53
tempo,2,665.7,981.0,0.82,13.07,63.77
tempo,2,566.0,272.0,0.23,15.43,37.27
tempo,2,85.2,681.0,0.57,12.35,7.89
delivery-van,3,447.6,367.0,0.46,12.11,39.58
mini-truck,1,692.6,4421.0,0.88,6.74,122.9
tempo,2,94.6,441.0,0.37,15.83,6.51
tempo,2,641.4,1026.0,0.85,14.29,58.37
delivery-van,3,540.5,409.0,0.51,13.68,42.41
delivery-van,3,732.2,215.0,0.27,13.25,58.5
heavy-truck,0,224.5,3933.0,0.39,4.89,53.14
mini-truck,1,163.4,3907.0,0.78,6.97,28.98
delivery-van,3,384.1,560.0,0.7,14.01,33.76
delivery-van,3,358.9,664.0,0.83,11.22,38.45
heavy-truck,0,587.9,6179.0,0.62,5.51,125.11
delivery-van,3,437.4,674.0,0.84,10.5,48.22
heavy-truck,0,291.1,7470.0,0.75,5.22,71.69
delivery-van,3,435.6,301.0,0.38,11.66,36.67
tempo,2,407.1,665.0,0.55,15.57,28.25
heavy-truck,0,615.4,9777.0,0.98,4.76,154.56
delivery-van,3,175.9,355.0,0.44,10.54,20.94
tempo,2,189.2,278.0,0.23,15.11,13.67
tempo,2,685.1,1018.0,0.85,15.68,55.68
tempo,2,100.5,606.0,0.5,15.23,7.26
delivery-van,3,179.2,614.0,0.77,12.38,17.89
delivery-van,3,320.7,794.0,0.99,10.44,36.73
heavy-truck,0,227.5,4682.0,0.47,4.27,62.87
tempo,2,445.9,410.0,0.34,12.61,40.85
delivery-van,3,615.0,448.0,0.56,11.63,59.47
mini-truck,1,280.4,2567.0,0.51,7.24,43.89
mini-truck,1,151.2,4281.0,0.86,8.8,21.71
heavy-truck,0,77.3,7543.0,0.75,5.33,17.06
mini-truck,1,562.6,1327.0,0.27,7.07,83.34
mini-truck,1,664.8,1376.0,0.28,7.31,94.61
tempo,2,584.0,589.0,0.49,12.83,45.1
delivery-van,3,181.0,617.0,0.77,10.41,20.09
tempo,2,741.9,727.0,0.61,14.67,59.92
heavy-truck,0,424.9,2972.0,0.3,5.46,82.19
mini-truck,1,472.8,3220.0,0.64,6.38,86.11
heavy-truck,0,634.2,7926.0,0.79,5.73,132.54
delivery-van,3,441.3,203.0,0.25,11.62,42.53
delivery-van,3,638.2,398.0,0.5,10.25,77.37
mini-truck,1,563.9,3494.0,0.7,7.54,85.53
mini-truck,1,349.5,2392.0,0.48,8.54,43.08
mini-truck,1,116.7,1988.0,0.4,7.75,17.26
heavy-truck,0,734.9,5143.0,0.51,4.49,186.18
tempo,2,111.6,702.0,0.59,13.33,10.04
delivery-van,3,271.5,197.0,0.25,10.48,27.98
mini-truck,1,583.3,4359.0,0.87,8.11,86.59
mini-truck,1,688.3,2130.0,0.43,7.59,99.09
tempo,2,67.6,838.0,0.7,14.59,5.04
tempo,2,121.0,895.0,0.75,12.0,11.65
mini-truck,1,745.0,3743.0,0.75,8.48,111.31
heavy-truck,0,705.7,7370.0,0.74,5.89,132.18
delivery-van,3,613.2,307.0,0.38,10.27,64.94
heavy-truck,0,339.2,5942.0,0.59,4.62,88.55
delivery-van,3,398.1,670.0,0.84,12.06,40.22
delivery-van,3,203.8,167.0,0.21,12.65,17.61
tempo,2,467.1,1140.0,0.95,12.17,45.85
heavy-truck,0,119.8,6147.0,0.61,5.85,23.34
mini-truck,1,545.1,2080.0,0.42,7.43,84.13
heavy-truck,0,175.6,6933.0,0.69,5.88,36.09
tempo,2,244.1,549.0,0.46,14.57,18.25
heavy-truck,0,189.9,4381.0,0.44,5.43,40.94
heavy-truck,0,166.9,9407.0,0.94,4.95,42.79
heavy-truck,0,340.1,9943.0,0.99,5.05,73.68
tempo,2,503.6,308.0,0.26,14.68,36.95
delivery-van,3,187.9,628.0,0.79,12.38,17.5
tempo,2,307.7,907.0,0.76,14.37,26.29
mini-truck,1,229.4,2029.0,0.41,8.37,30.75
mini-truck,1,720.3,3567.0,0.71,6.78,120.27
delivery-van,3,740.4,177.0,0.22,11.57,61.32
heavy-truck,0,309.3,8249.0,0.82,5.49,63.79
mini-truck,1,697.7,4777.0,0.96,6.77,133.09
heavy-truck,0,457.5,7031.0,0.7,4.87,108.21
delivery-van,3,604.1,602.0,0.75,10.51,68.02
heavy-truck,0,617.6,8853.0,0.89,5.22,137.36
heavy-truck,0,410.7,4451.0,0.45,4.45,109.37
tempo,2,661.6,1131.0,0.94,14.02,55.21
mini-truck,1,269.8,1800.0,0.36,6.91,39.42
tempo,2,520.0,408.0,0.34,13.52,44.81
heavy-truck,0,414.9,3061.0,0.31,5.6,79.11
tempo,2,355.9,278.0,0.23,13.15,29.59
tempo,2,358.2,938.0,0.78,13.5,30.64
delivery-van,3,427.0,447.0,0.56,10.98,45.14
tempo,2,94.4,776.0,0.65,12.98,7.94
delivery-van,3,578.1,371.0,0.46,10.49,55.72
tempo,2,506.6,912.0,0.76,12.24,50.96
delivery-van,3,98.5,799.0,1.0,13.94,8.56
mini-truck,1,623.9,2755.0,0.55,7.73,87.94
heavy-truck,0,105.3,6855.0,0.69,5.5,21.22
delivery-van,3,447.6,378.0,0.47,13.36,38.42
heavy-truck,0,481.8,8941.0,0.89,5.39,100.38
tempo,2,735.0,1059.0,0.88,14.25,64.47
mini-truck,1,708.7,4327.0,0.87,8.58,106.55
tempo,2,724.5,602.0,0.5,13.44,65.48
tempo,2,609.5,973.0,0.81,14.07,52.98
delivery-van,3,205.4,590.0,0.74,11.97,21.06
mini-truck,1,741.7,4355.0,0.87,8.63,108.04
tempo,2,103.1,852.0,0.71,16.14,6.97
tempo,2,93.3,468.0,0.39,15.67,6.48
mini-truck,1,567.1,1422.0,0.28,7.09,87.32
mini-truck,1,445.0,1423.0,0.28,6.47,76.8
heavy-truck,0,538.9,9845.0,0.98,4.93,139.62
heavy-truck,0,622.0,3492.0,0.35,4.47,161.56
tempo,2,558.7,685.0,0.57,13.02,47.51
tempo,2,663.8,272.0,0.23,14.01,51.94
delivery-van,3,187.6,381.0,0.48,13.95,15.61
heavy-truck,0,514.6,5804.0,0.58,5.12,111.47
mini-truck,1,399.0,4585.0,0.92,7.09,67.62
heavy-truck,0,664.5,5391.0,0.54,4.57,158.07
mini-truck,1,585.6,3463.0,0.69,8.37,85.5
tempo,2,423.6,311.0,0.26,15.72,29.26
heavy-truck,0,714.3,2839.0,0.28,5.11,152.51
delivery-van,3,58.7,731.0,0.91,10.57,6.85
heavy-truck,0,166.7,8473.0,0.85,5.46,34.84
heavy-truck,0,610.7,5584.0,0.56,4.44,154.92
heavy-truck,0,563.8,7639.0,0.76,5.56,113.85
heavy-truck,0,701.3,5607.0,0.56,5.79,128.73
tempo,2,216.9,1159.0,0.97,16.49,16.06
delivery-van,3,438.2,761.0,0.95,12.15,40.11
mini-truck,1,394.8,1346.0,0.27,6.96,62.38
mini-truck,1,648.0,3686.0,0.74,8.57,85.25
mini-truck,1,659.3,2229.0,0.45,7.62,94.52
delivery-van,3,217.8,257.0,0.32,10.46,21.71
heavy-truck,0,256.1,9074.0,0.91,5.55,52.3
heavy-truck,0,547.5,8998.0,0.9,4.91,131.09
heavy-truck,0,276.6,6328.0,0.63,5.76,54.53
mini-truck,1,619.2,4730.0,0.95,7.3,97.14
heavy-truck,0,116.3,9969.0,1.0,5.56,25.74
mini-truck,1,559.1,1555.0,0.31,7.95,75.55
tempo,2,277.0,524.0,0.44,12.39,25.6
delivery-van,3,323.3,594.0,0.74,13.06,29.0
mini-truck,1,80.6,3952.0,0.79,7.9,12.0
tempo,2,636.9,356.0,0.3,12.66,54.88
heavy-truck,0,560.5,4748.0,0.47,4.93,127.64
mini-truck,1,74.7,3261.0,0.65,6.6,13.35
delivery-van,3,173.0,781.0,0.98,10.93,19.14
delivery-van,3,151.5,446.0,0.56,13.24,12.71
tempo,2,144.5,574.0,0.48,12.52,13.59
heavy-truck,0,523.3,6904.0,0.69,4.73,130.9
delivery-van,3,194.4,711.0,0.89,12.31,19.86
mini-truck,1,318.6,1913.0,0.38,7.23,51.03
tempo,2,200.2,1185.0,0.99,15.24,15.1
heavy-truck,0,398.5,5111.0,0.51,5.14,86.59
delivery-van,3,302.7,690.0,0.86,12.36,30.22
tempo,2,358.8,829.0,0.69,15.47,27.03
delivery-van,3,125.6,399.0,0.5,13.96,10.28
mini-truck,1,259.3,1399.0,0.28,6.73,41.03
heavy-truck,0,198.2,2174.0,0.22,4.78,41.87
mini-truck,1,243.0,2380.0,0.48,8.02,34.36
delivery-van,3,227.0,717.0,0.9,13.69,19.23
tempo,2,701.6,1172.0,0.98,12.29,67.44
heavy-truck,0,398.9,5895.0,0.59,5.35,81.29
mini-truck,1,106.1,3366.0,0.67,6.73,17.76
delivery-van,3,564.3,486.0,0.61,12.88,53.46
delivery-van,3,72.8,726.0,0.91,11.47,7.87
delivery-van,3,596.6,627.0,0.78,12.71,55.81
tempo,2,584.3,1158.0,0.96,13.62,51.65
tempo,2,362.0,349.0,0.29,12.11,30.8
tempo,2,583.3,1092.0,0.91,16.09,46.01
mini-truck,1,318.7,4548.0,0.91,8.66,45.9
tempo,2,535.4,1062.0,0.89,12.27,48.91
mini-truck,1,334.4,3610.0,0.72,8.78,44.62
tempo,2,723.2,814.0,0.68,14.04,59.21
heavy-truck,0,324.1,8676.0,0.87,5.73,63.9
delivery-van,3,154.8,214.0,0.27,12.12,14.82
mini-truck,1,68.9,3208.0,0.64,8.69,8.9
heavy-truck,0,78.0,9330.0,0.93,4.68,19.86
delivery-van,3,734.0,326.0,0.41,13.59,58.47
tempo,2,382.8,377.0,0.31,13.68,29.94
tempo,2,450.7,892.0,0.74,16.5,33.19
heavy-truck,0,198.1,5016.0,0.5,4.72,46.69
delivery-van,3,434.6,797.0,1.0,13.26,41.26
tempo,2,605.6,1142.0,0.95,13.36,56.29
heavy-truck,0,147.2,4306.0,0.43,4.91,31.73
mini-truck,1,584.5,4523.0,0.9,8.7,82.96
delivery-van,3,139.3,371.0,0.46,14.09,12.21
heavy-truck,0,503.8,4674.0,0.47,4.5,117.25
heavy-truck,0,729.3,7175.0,0.72,5.77,144.17
tempo,2,731.6,718.0,0.6,13.24,64.47
mini-truck,1,179.2,1848.0,0.37,6.8,28.71
tempo,2,744.1,743.0,0.62,12.77,68.84
heavy-truck,0,106.9,6397.0,0.64,4.68,27.04
tempo,2,197.8,1173.0,0.98,15.87,15.54
delivery-van,3,254.5,670.0,0.84,10.4,29.1
tempo,2,627.4,376.0,0.31,12.59,55.87
heavy-truck,0,273.9,9500.0,0.95,5.56,63.97
heavy-truck,0,57.1,5870.0,0.59,4.54,13.61
tempo,2,717.7,722.0,0.6,13.41,66.84
delivery-van,3,471.8,223.0,0.28,12.17,39.22
tempo,2,423.7,767.0,0.64,14.03,37.52
delivery-van,3,667.2,300.0,0.38,13.21,59.13
mini-truck,1,243.1,1468.0,0.29,7.46,32.93
heavy-truck,0,222.1,4267.0,0.43,4.5,54.84
tempo,2,436.4,428.0,0.36,12.73,37.92
tempo,2,482.9,848.0,0.71,14.03,42.36
tempo,2,576.1,625.0,0.52,12.46,47.91
mini-truck,1,52.1,3621.0,0.72,7.67,8.08
mini-truck,1,525.7,1482.0,0.3,6.84,75.46
delivery-van,3,193.3,185.0,0.23,11.52,18.57
tempo,2,175.9,711.0,0.59,14.27,15.16
tempo,2,535.6,615.0,0.51,15.5,36.08
delivery-van,3,326.8,364.0,0.46,13.25,27.56
mini-truck,1,623.7,1928.0,0.39,6.64,102.33
heavy-truck,0,466.9,5871.0,0.59,5.21,106.52
mini-truck,1,458.1,4345.0,0.87,6.5,85.9
tempo,2,322.9,1090.0,0.91,13.28,30.13
tempo,2,660.3,992.0,0.83,15.89,49.41
heavy-truck,0,336.2,4896.0,0.49,4.77,77.67
delivery-van,3,260.1,280.0,0.35,11.33,26.25
mini-truck,1,314.2,4678.0,0.94,6.52,64.45
heavy-truck,0,656.3,7987.0,0.8,4.44,179.97
mini-truck,1,150.2,2701.0,0.54,7.4,20.6
heavy-truck,0,405.6,5580.0,0.56,5.25,95.05
delivery-van,3,405.6,780.0,0.98,10.25,49.75
heavy-truck,0,230.2,7375.0,0.74,5.45,57.43
mini-truck,1,440.0,3296.0,0.66,7.69,69.57
heavy-truck,0,501.6,5532.0,0.55,5.15,112.3
heavy-truck,0,321.9,8408.0,0.84,5.11,75.11
tempo,2,347.9,496.0,0.41,16.24,23.76
heavy-truck,0,469.6,3844.0,0.38,5.0,100.05
mini-truck,1,249.3,4117.0,0.82,6.53,45.63
tempo,2,422.1,353.0,0.29,12.71,34.06
mini-truck,1,647.2,4035.0,0.81,7.96,98.06
mini-truck,1,256.5,1870.0,0.37,7.66,35.38
delivery-van,3,327.7,181.0,0.23,10.24,30.82
heavy-truck,0,725.0,3402.0,0.34,5.84,140.19
delivery-van,3,72.0,378.0,0.47,13.29,5.62
tempo,2,594.0,592.0,0.49,14.23,48.54
heavy-truck,0,312.9,4422.0,0.44,4.94,69.86
heavy-truck,0,114.0,6799.0,0.68,5.66,23.16
delivery-van,3,274.3,437.0,0.55,10.8,28.55
mini-truck,1,202.3,1353.0,0.27,7.88,25.8
tempo,2,111.4,398.0,0.33,13.12,9.34
heavy-truck,0,570.2,8684.0,0.87,5.84,112.97
delivery-van,3,248.1,707.0,0.88,11.47,25.68
tempo,2,380.6,548.0,0.46,13.75,32.65
tempo,2,583.5,879.0,0.73,14.51,47.16
tempo,2,528.3,512.0,0.43,13.84,43.42
heavy-truck,0,396.0,3711.0,0.37,4.94,96.64
tempo,2,608.7,439.0,0.37,15.63,42.73
delivery-van,3,596.9,429.0,0.54,12.59,55.11
mini-truck,1,738.8,2077.0,0.42,8.26,95.14
heavy-truck,0,415.3,9909.0,0.99,4.83,106.09
